Code,State,MaleElectors,MaleVoters,MaleTurnout,FemaleElectors,FemaleVoters,FemaleTurnout,TotalElectors,TotalVoters,Value,TotalSeats,Party,Sentiments,SexRatio
AN,Andaman & Nicobar Islands,142782,101178,70,126578,89150,70.43,269360,190328,40,1,BJP,100,47
AP,Andhra Pradesh,32670930,24352913,74.54,32267820,24005632,74.39,64938750,48358545,74.47,42,TDP,29252,50
AR,Arunachal Pradesh,379627,289291,76.2,379760,307665,81.02,759387,596956,78.61,2,BJP,2180,52
AS,Assam,9787209,7876763,80.48,9098065,7209120,79.24,18885274,15085883,79.88,14,BJP,1142,48
BR,Bihar,34092938,18779230,39,29668858,17106136,57.66,63761796,35885366,56.28,40,BJP,3577,48
CT,Chhattisgarh,8915783,6320693,70.89,8707266,5934886,68.16,17623049,12255579,69.54,11,BJP,318,48
GA,Goa,528308,395766,74.91,532469,421234,79.11,1060777,817000,77.02,2,BJP,13,52
GJ,Gujarat,21229092,14259115,45,19374012,11564888,59.69,40603104,25824003,63.6,26,BJP,9160,45
HR,Haryana,8716612,6351584,72.87,7381137,5143566,69.69,16097749,11495150,71.41,10,BJP,333,45
HP,Himachal Pradesh,2474430,1569632,63.43,2335641,1528869,65.46,4810071,3098501,64.42,4,BJP,1993,49
JK,Jammu & Kashmir,3802021,1927584,50.7,3400142,1639279,48.21,7202163,3566863,49.52,6,BJP,580,46
JH,Jharkhand,10685149,6860476,64.21,9641594,6122464,63.5,20326743,12982940,63.87,14,BJP,2644,47
KA,Karnataka,23586223,16165832,68.54,22625886,14873056,65.73,46212109,31038888,67.17,28,INC,10233,48
KL,Kerala,11734258,8678185,80,12592391,9297708,73.84,24326649,17975893,73.89,20,UDF,1167,52
LD,Lakshadweep,25433,21585,84.87,24489,21654,88.42,49922,43239,86.61,1,INC,15,50
MP,Madhya Pradesh,25309830,16734556,66.12,22808210,12905240,56.58,48118040,29639796,61.6,29,BJP,1701,44
MH,Maharashtra,42743156,26714578,62.5,37974127,22004266,57.95,80717283,48718844,60.36,48,BJP,12319,45
MN,Manipur,871431,685427,85,902894,727210,80.54,1774325,1412637,79.62,2,INC,748,51
ML,Meghalaya,777639,524774,67.48,789602,553284,70.07,1567241,1078058,68.79,2,INC,120,51
MZ,Mizoram,346219,216167,62.44,355951,217034,60.97,702170,433201,61.69,1,INC,240,50
NL,Nagaland,600490,529325,88.15,582458,509585,87.49,1182948,1038910,87.82,1,INC,230,49
DL,NCT OF Delhi,7051098,4653522,70,5660138,3618244,63.93,12711236,8271766,65.07,7,BJP,11963,44
OR,Odisha,15194309,11032523,72.61,14001732,10499752,74.99,29196041,21532275,73.75,21,BJP,1638,49
PB,Punjab,10327116,7262625,70.33,9280892,6582507,70.93,19608008,13845132,70.61,13,INC,14416,48
RJ,Rajasthan,22638323,14627976,64.62,20331124,12482068,61.39,42969447,27110044,63.09,25,BJP,250,46
SK,Sikkim,190886,158222,82.89,179725,150745,83.88,370611,308967,83.37,1,BJP,130,49
TN,Tamil Nadu,27571785,20249949,73.44,27542720,20370491,73.96,55114505,40620440,73.7,39,DMK,7510,50
TR,Tripura,1217575,1035722,85.06,1171244,988137,84.37,2388819,2023859,84.72,2,BJP,127,49
UP,Uttar Pradesh,76071444,44979619,59.13,62894376,36112683,57.42,138965820,81092302,58.35,80,BJP,6028,45
UT,Uttarakhand,3751098,2268767,60.48,3378841,2123123,62.84,7129939,4391890,61.66,5,BJP,7663,48
WB,West Bengal,32689449,26886706,82.25,30143679,24735849,82.06,62833128,51622555,82.16,42,TMC,4706,48
